Place Name,Owner,Address,Stadtteil,Polnische Straße,Polnische Adresse
Rehdanz, W., Gr. Berlinerstr. 46, J.,Dąbrowskiego,Dąbrowskiego 46, Poznań
Reinen, H., Gr. Gerberstr. 8.,,Garbary,Garbary 8, Poznań
Rinsch, O., Kronprinzenstrasse 112/113, W.,Górna Wilda,Górna Wilda 112/113, Poznań
Röhr, W., Breslauerstr. 38.,,Wrocławska,Wrocławska 38, Poznań
Rojda, S., Warschauerstr. 15.,,Warszawska,Warszawska 15, Poznań
Rybicki, M., Theaterstr. 2.,,3 Maja,3 Maja 2, Poznań
Sałata, J., Posenerstr. 6, J.,Poznańska,Poznańska 6, Poznań
Salisch, J., Grünestr. 9.,,Zielona,Zielona 9, Poznań
Sarnowski, J. v., Centralstr. 4, L.,Odskok,52°24'04.3"N 16°54'33.5"E
Schart, A., Klosterstr. 5.,,Klasztorna,Klasztorna 5, Poznań
Scheffler, A, Bahnhof am Gerberdamm 1.,,Garbary,Garbary 1, Poznań
Schelske, C., St. Martinstr. 43.,,Św. Marcin,Św. Marcin 43, Poznań
Scheuermann, G., Kanonenpl. 4.,,Działowa,Działowa 4, Poznań
Schiefek, E., Bismarckstr. 1.,,Kantaka,Kantaka 1, Poznań
Schiller, J., Sapiehapl. 5.,,Plac Wielkopolski,Plac Wielkopolski 5, Poznań
Schleichert, M., Bahnstr. 27, W.,Kolejowa,Kolejowa 27, Poznań
Schneider, J., Breitestr. 15.,,Wielka,Wielka 15, Poznań
Schoen, L., Schrodkamarkt 7/8.,,Rynek Śródecki,Rynek Śródecki 7/8, Poznań
Schulz, G., Bukerstr. 25, J.,Bukowska,Bukowska 25, Poznań
Schulz, H., Kais. Victoriastr. 31, Ba.,Grunwaldzka,Grunwaldzka 31, Poznań
Schumann, A, Wronkerstr. 18.,,Wroniecka,Wroniecka 18, Poznań
Schütze, H., Ostrowek 11.,,Ostrówek,Ostrówek 11, Poznań
Schwerenz, Is., Kanonenpl. 18.,,Działowa,Działowa 18, Poznań
Seeliger, P., Wronkerstr. 12.,,Wroniecka,Wroniecka 12, Poznań
Siemieniewski, L., Villenstr. 60, W.,Dolna Wilda,Dolna Wilda 60, Poznań
Skrzypczak, A., Alt. Markt 27/28.,,Stary Rynek,Stary Rynek 27/28, Poznań
Skrzypek, S., Büttelstr. 6.,,Woźna,Woźna 6, Poznań
Sołecka, M., Alt. Markt 34.,,Stary Rynek,Stary Rynek 34, Poznań
Sperling, P., Schifferstr. 15.,,Szyferska,Szyferska 15, Poznań
Stachowiak, A., Alt. Markt 20.,,Stary Rynek,Stary Rynek 20, Poznań
Stawinski, T., St. Martinstr. 28.,,Św. Marcin,Św. Marcin 28, Poznań
Stebner, W., Gr. Berlinerstr. 49, J.,Dąbrowskiego,Dąbrowskiego 49, Poznań
Stelmaszewski, J., Alt. Markt 30.,,Stary Rynek,Stary Rynek 30, Poznań
Steuer, I., Thiergartenstr. 11, J.,Zwierzyniecka,Zwierzyniecka 11, Poznań
Strożynski, H., Eichwaldstr. 8.,,Droga Dębińska,Droga Dębińska 8, Poznań
Strożynski, A., Kirchstr. 24, J.,Kościelna,Kościelna 24, Poznań
Styczynska, M., Langestr. 16.,,Długa,Długa 16, Poznań
Szermer, B., Kais. Victoriastr. 3, J.,Grunwaldzka,Grunwaldzka 3, Poznań
Szymańki, M., Alter Markt 44 (Eingang Büttelstr.),,Stary Rynek,Stary Rynek 44 (Eingang Büttelstr.), Poznań
Tafelska, H., Wallischei 6.,,Chwaliszewo,Chwaliszewo 6, Poznań
Tauber, H., Thiergartenstr 12, J.,Zwierzyniecka,Zwierzyniecka 12, Poznań
Tominski, F., Jesuitenstr. 11.,,Świętosławska,Świętosławska 11, Poznań
Topolinski, M., Wasserstr. 13.,,Wodna,Wodna 13, Poznań
Topolinski, Th., Wienerstr. 1.,,Szymanskiego,Szymańskiego 1, Poznań
Truszkowski, F. , Schweizerstr. 11,W.,Chwiałkowskiego,Chwiałkowskiego 11, Poznań
Tulecki, R., Berdychowo 5.,, Berdychowo 5.,Berdychowo 5, Poznań
'Turkiewicz, J., Alt. Markt 77.,,Stary Rynek,Stary Rynek 77, Poznań
Ueberall, I., Bäckerstr. 28.,,Piekary,Piekary 28, Poznań
Urbański, J., Paulikirchstr. 6.,,Fredy,Fredy 6, Poznań
Vetter. ,F., Ritterstr. 7.,,Ratajczaka,Ratajczaka 7, Poznań
Waligórski, A., Glogauerstr. 94, L.,Głogowska,Głogowska 94, Poznań
Walski, C., Alt. Markt 85.,,Stary Rynek,Stary Rynek 85, Poznań
Walter, Joh., Glogauerstr. 84, L.,Głogowska,Głogowska 84, Poznań
Wdowczak, T., Grosse Berlinerstrasse 59, J.,Dąbrowskiego,Dąbrowskiego 59, Poznań
Wędzicki, S., Wilhelmstr. 27.,,Al. Marcinkowskiego,Al. Marcinkowskiego 27, Poznań
Wende, W., Wallischei 66.,,Chwaliszewo,Chwaliszewo 66, Poznań
Wendland, C., Hedwigstr. 2, J.,Kraszewskiego,Kraszewskiego 2, Poznań
Wenzel, A., Wronkerstr. 4.,,Wroniecka,Wroniecka 4, Poznań
Wiedermann, H., Halbdorfstr. 25.,,Półwiejska,Półwiejska 25, Poznań
Wiedermann, H., Königspl. 5.,,Pl. Ratajskiego,Pl. Ratajskiego 5, Poznań
Wieloch, J., Gr. Gerberstr. 45.,,Garbary,Garbary 45, Poznań
Wilanczyk, A, Kirchstr. 26, J.,Kościelna,Kościelna 26, Poznań
Wilczyński, M, Wallischei 72.,,Chwaliszewo,Chwaliszewo 72, Poznań
Willenius, A. , Bukerstr. 37,J.,Bukowska,Bukowska 37, Poznań
Wiltschke, C., Wasserstr. 27.,,Wodna,Wodna 27, Poznań
Winkler, E£. , Gr. Berlinerstr. 53, J.,Dąbrowskiego,Dąbrowskiego 53, Poznań
Wipf, O., Breslauerstr. 19.,,Wrocławska,Wrocławska 19, Poznań
Wojciechowski, V., Festungsstrasse 17, J.,Jeżycka,Jeżycka 17, Poznań
Wolkiewicz, J., Feldstr. 16 ,J.,Polna,Polna 16, Poznań
Wuttge, M., Berdychowo 4.,, Berdychowo 4.,Berdychowo 4, Poznań
Zimny, V., Wallischei 69.,,Chwaliszewo,Chwaliszewo 69, Poznań
Zunke, R., Posenerstr. 58, J.,Poznańska,Poznańska 58, Poznań
